Score, Alerts, Flags, Time, Symbol, Expiration Date, Strike, Call/Put, Price, Trade Spread, Premium, Stock Last, Trade Size, Open Interest, Stock Cnt., Option Cnt., Implied Vol., Earnings Date
"2","","Block Trade","09:30:00 AM","MRVL","06/26/2026","222.5","Put","$0.80","Bidish","$59.38k","$313.44","746","209","26","1","0",""
"4","Repeater_Bearish","Block Trade","09:30:00 AM","IBIT","09/18/2026","40","Put","$4.63","Askish","$584.19k","$36.77","1,262","25,594","133","3","53.04",""
"2","","Block Trade","09:30:00 AM","MSTR","06/26/2026","106","Put","$1.86","Askish","$93.88k","$116.04","506","117","43","1","144.18",""
"4","","Block Trade","09:30:01 AM","MARA","07/17/2026","17","Call","$0.50","At Ask","$50.35k","$14.51","1,007","9,545","13","1","82.24",""
"4","DonkeyKong, Repeater_Bullish","Sweep","09:30:01 AM","INTC","06/26/2026","140","Call","$6.60","Bidish","$539.88k","$139.59","818","13,587","159","13","84.57",""
"3","Repeater_Bullish","Block Trade","09:30:01 AM","INTC","06/26/2026","140","Call","$6.44","Bidish","$516.58k","$139.59","802","13,587","159","13","84.57",""
"4","","Block Trade","09:30:01 AM","SMCI","09/18/2026","40","Call","$3.00","At Ask","$297.3k","$32.46","991","7,455","61","1","81.19",""
"3","","Block Trade","09:30:02 AM","STRC","07/17/2026","70","Put","$2.05","Above Ask","$102.5k","$91.14","500","21","1","1","107.71",""
"2","Repeater_Bearish","Block Trade","09:30:03 AM","MSTR","06/26/2026","108","Put","$1.99","Askish","$99.5k","$116.18","500","161","43","2","149.47",""
"4","Repeater_Bullish","Sweep","09:30:03 AM","SMCI","07/17/2026","40","Call","$0.78","At Bid","$55.69k","$32.48","714","9,984","61","4","77.47",""
"3","Repeater_Bullish","Block Trade","09:30:04 AM","IBIT","07/17/2026","38","Call","$1.05","At Bid","$62.58k","$36.77","596","14,911","133","2","32.88",""
"3","","Block Trade","09:30:05 AM","MARA","07/17/2026","16","Call","$0.75","Bidish","$75.22k","$14.56","1,003","8,643","13","1","78.63",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:30:07 AM","IBIT","09/18/2026","38","Call","$2.58","Bidish","$455.63k","$36.78","1,766","2,633","133","2","35.31",""
"4","","Block Trade","09:30:08 AM","IBIT","07/10/2026","30","Put","$0.17","Above Ask","$51k","$36.78","3,000","932","133","1","70.84",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:30:08 AM","XLE","06/26/2026","54","Call","$0.60","At Ask","$70.62k","$53.71","1,173","42","15","2","31.49",""
"2","","Block Trade","09:30:08 AM","GDXJ","08/21/2026","115","Call","$6.00","Askish","$300k","$105.82","500","166","1","1","57.66",""
"5","","Block Trade","09:30:11 AM","XLE","06/26/2026","54","Call","$0.60","At Ask","$120k","$53.72","2,000","42","15","2","31.28",""
"5","","Block Trade","09:30:16 AM","IBIT","09/18/2026","38","Call","$2.59","Bidish","$457.39k","$36.80","1,766","2,633","133","2","35.18",""
"3","","Block Trade","09:30:20 AM","MARA","07/17/2026","16.5","Call","$0.65","Above Ask","$65k","$14.61","1,000","0","13","1","0",""
"4","","Block Trade","09:30:20 AM","DOMO","08/21/2026","3","Call","$0.60","At Bid","$115.67k","$2.24","1,928","28,281","1","1","229.19",""
"5","","Sweep","09:30:23 AM","NFLX","07/17/2026","90","Call","$0.67","At Ask","$67.13k","$76.37","1,002","56,170","57","1","55.4",""
"5","Repeater_Bearish","Block Trade","09:30:25 AM","RIVN","06/26/2026","16","Put","$0.50","Above Ask","$75.25k","$16.04","1,505","1,747","14","2","60",""
"3","Repeater_Bullish","Block Trade","09:30:27 AM","BNO","08/21/2026","60","Call","$0.55","Bidish","$55k","$43.16","1,000","7,669","3","2","65.14",""
"4","","Block Trade","09:30:29 AM","NVDA","07/17/2026","222.5","Call","$4.30","Askish","$491.06k","$211.59","1,142","0","264","1","0",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:30:30 AM","SMCI","06/26/2026","34","Call","$1.01","At Ask","$65.95k","$32.81","653","1,891","61","5","69.53",""
"6","DonkeyKong, Repeater_Bullish","Sweep","09:30:35 AM","SMCI","06/26/2026","32.5","Call","$1.68","Bidish","$196.06k","$32.84","1,167","1,046","61","2","44.83",""
"3","Repeater_Bullish","Block Trade","09:30:36 AM","NVDA","06/22/2026","207.5","Call","$4.52","Askish","$226k","$211.65","500","5,262","264","30","0",""
"7","DonkeyKong, Repeater_Bullish","Sweep","09:30:40 AM","NVDA","06/22/2026","215","Call","$0.52","At Ask","$142.38k","$211.94","2,738","5,354","264","28","0",""
"6","Repeater_Bullish","Sweep","09:30:40 AM","NVDA","06/22/2026","210","Call","$2.76","Above Ask","$146.83k","$211.94","532","9,708","264","16","0",""
"4","Repeater_Bullish","Sweep","09:30:44 AM","SMCI","06/26/2026","34","Call","$1.06","At Mid","$56.92k","$32.88","537","1,891","61","5","67.73",""
"3","AllTheThings","Sweep","09:30:45 AM","IBIT","07/24/2026","39","Call","$0.88","At Bid","$55.62k","$36.86","632","574","133","1","31.65",""
"5","Repeater_Bearish","Block Trade","09:30:48 AM","AAPL","06/24/2026","290","Put","$0.39","Askish","$156k","$299.24","4,000","987","54","2","45.18",""
